OCPM #,Make/Miss,SR Create TS,SR Close TS,CX - RC
409LF5S,Miss,2019-11-26 11:14:00,2020-01-07 12:58:00,42.07222222222222
409JQQ9,Miss,2019-11-18 11:47:00,2020-01-08 12:55:00,51.047222222222224
409KV89,Miss,2019-11-22 15:49:00,2020-01-08 16:01:00,47.00833333333333
409M2NR,Miss,2019-11-29 15:46:00,2020-01-08 11:09:00,39.80763888888889
409GFF4,Miss,2019-11-05 15:45:00,2019-12-23 12:40:00,47.87152777777778
409K7VN,Miss,2019-11-20 07:38:00,2020-01-08 15:27:00,49.325694444444444
409GL8Y,Miss,2019-11-06 07:26:00,2020-01-08 09:11:00,63.072916666666664
409GPF2,Miss,2019-11-06 16:45:00,2020-01-08 08:59:00,62.67638888888889
409KD4C,Miss,2019-11-20 15:21:00,2020-01-08 09:55:00,48.77361111111111
409FS9C,Miss,2019-11-01 14:00:00,2019-12-23 13:42:00,51.9875
409HY5K,Miss,2019-11-13 10:02:00,2020-01-09 13:17:00,57.135416666666664
409H5M2,Miss,2019-11-08 12:04:00,2020-01-09 16:13:00,62.172916666666666
409JRY5,Miss,2019-11-18 11:20:00,2020-01-09 11:56:00,52.025
409JZ9Z,Miss,2019-11-19 10:46:00,2020-01-09 15:02:00,51.17777777777778
409F5M5,Miss,2019-10-29 16:04:00,2019-12-24 14:29:00,55.93402777777778
409KN23,Miss,2019-11-21 13:54:00,2020-01-09 14:21:00,49.01875
409L5BT,Miss,2019-11-25 12:35:00,2020-01-09 11:12:00,44.94236111111111
409KLTK,Miss,2019-11-21 14:01:00,2020-01-09 10:51:00,48.86805555555556
409K4DF,Miss,2019-11-19 14:15:00,2020-01-09 09:57:00,50.82083333333333
409KBJG,Miss,2019-11-20 09:04:00,2020-01-09 13:53:00,50.200694444444444
409GD5G,Miss,2019-11-05 12:15:00,2019-12-18 11:38:00,42.97430555555555
409GVGZ,Miss,2019-11-07 10:18:00,2019-12-18 12:42:00,41.1
409GWVY,Miss,2019-11-07 14:25:00,2019-12-19 12:51:00,41.93472222222222
409DV7Y,Miss,2019-10-28 17:07:00,2019-12-18 22:33:00,51.22638888888889
409G2W3,Miss,2019-11-04 10:43:00,2019-12-18 11:41:00,44.040277777777774
409GCWM,Miss,2019-11-05 12:49:00,2019-12-18 17:40:00,43.202083333333334
409GVWK,Miss,2019-11-07 12:11:00,2019-12-18 15:48:00,41.15069444444445
409GZ8M,Miss,2019-11-07 17:17:00,2019-12-18 13:49:00,40.855555555555554
409H7BT,Miss,2019-11-08 16:33:00,2019-12-18 12:44:00,39.84097222222222
409JRD9,Miss,2019-11-18 13:04:00,2020-01-10 16:22:00,53.1375
409HVC4,Miss,2019-11-13 09:17:00,2020-01-10 11:29:00,58.09166666666667
409HGZN,Miss,2019-11-11 16:21:00,2020-01-13 13:16:00,62.87152777777778
409MQBM,Miss,2019-12-04 09:47:00,2020-01-13 11:30:00,40.071527777777774
409MQGL,Miss,2019-12-04 09:58:00,2020-01-13 11:25:00,40.06041666666667
409MQYQ,Miss,2019-12-04 10:45:00,2020-01-13 15:32:00,40.199305555555554
4097KKY,Miss,2019-09-30 11:40:00,2020-01-13 16:23:00,105.19652777777777
409BCQ2,Miss,2019-10-15 09:38:00,2019-12-18 15:25:00,64.24097222222223
409D9W3,Miss,2019-10-24 13:09:00,2019-12-18 14:46:00,55.06736111111111
4097KNY,Miss,2019-09-30 11:52:00,2020-01-13 16:23:00,105.18819444444445
409GC28,Miss,2019-11-05 11:21:00,2019-12-20 13:26:00,45.08680555555556
409MQ4P,Miss,2019-12-04 09:25:00,2020-01-13 11:24:00,40.08263888888889
409ML3F,Miss,2019-12-03 14:00:00,2020-01-13 13:26:00,40.97638888888889
409GTR3,Miss,2019-11-07 09:18:00,2019-12-17 11:44:00,40.10138888888889
409MB6N,Miss,2019-12-02 15:05:00,2020-01-13 12:44:00,41.90208333333333
409MLKM,Miss,2019-12-03 14:31:00,2020-01-13 13:48:00,40.97013888888889
409KVWB,Miss,2019-11-22 18:07:00,2020-01-13 11:46:00,51.735416666666666
409MQ8Q,Miss,2019-12-04 09:38:00,2020-01-13 10:25:00,40.03263888888889
4098DBJ,Miss,2019-10-03 12:48:00,2019-12-18 10:55:00,75.92152777777778
409GM6W,Miss,2019-11-06 08:54:00,2019-12-18 13:34:00,42.19444444444444
409H5G7,Miss,2019-11-08 11:42:00,2019-12-18 12:44:00,40.043055555555554
409DCNC,Miss,2019-10-24 16:13:00,2019-12-20 12:38:00,56.85069444444444
409FKKD,Miss,2019-10-31 11:06:00,2019-12-17 11:40:00,47.02361111111111
409FMWZ,Miss,2019-10-31 15:55:00,2019-12-21 10:21:00,50.768055555555556
409HYLN,Miss,2019-11-13 12:59:00,2019-12-27 11:35:00,43.94166666666667
409GTWY,Miss,2019-11-07 09:33:00,2019-12-30 09:32:00,52.99930555555556
409DLTP,Miss,2019-10-26 22:45:00,2019-12-30 12:25:00,64.56944444444444
409HY7L,Miss,2019-11-13 12:09:00,2019-12-30 12:38:00,47.02013888888889
409JRCC,Miss,2019-11-18 10:01:00,2019-12-30 14:29:00,42.18611111111111
409JRG5,Miss,2019-11-18 10:17:00,2019-12-30 14:29:00,42.175
409JJ6H,Miss,2019-11-15 18:02:00,2019-12-30 15:28:00,44.893055555555556
409JSMB,Miss,2019-11-18 14:44:00,2019-12-30 10:41:00,41.83125
409K54Z,Miss,2019-11-19 14:23:00,2019-12-30 10:39:00,40.84444444444444
409K4T2,Miss,2019-11-19 15:25:00,2019-12-30 13:45:00,40.93055555555556
409KCNP,Miss,2019-11-20 14:29:00,2019-12-30 11:45:00,39.88611111111111
409KDLS,Miss,2019-11-20 16:32:00,2019-12-30 10:31:00,39.74930555555556
