OCPM #,Make/Miss,SR Create TS,SR Close TS,CX - RC,CQ TS
409GWVY,Miss,11/7/2019 14:25,12/19/2019 12:51,41.93472222,11/8/2019 2:00
409DV7Y,Miss,10/28/2019 17:07,12/18/2019 22:33,51.22638889,10/28/2019 17:11
409G2W3,Miss,11/4/2019 10:43,12/18/2019 11:41,44.04027778,11/4/2019 10:49
409GCWM,Miss,11/5/2019 12:49,12/18/2019 17:40,43.20208333,11/5/2019 12:53
409GVWK,Miss,11/7/2019 12:11,12/18/2019 15:48,41.15069444,11/7/2019 12:12
409GZ8M,Miss,11/7/2019 17:17,12/18/2019 13:49,40.85555556,11/7/2019 17:25
409H7BT,Miss,11/8/2019 16:33,12/18/2019 12:44,39.84097222,11/8/2019 18:32
409JRD9,Miss,11/18/2019 13:04,1/10/2020 16:22,53.1375,11/19/2019 12:49
409HVC4,Miss,11/13/2019 9:17,1/10/2020 11:29,58.09166667,11/13/2019 11:54
409HGZN,Miss,11/11/2019 16:21,1/13/2020 13:16,62.87152778,11/11/2019 16:24
409MQBM,Miss,12/4/2019 9:47,1/13/2020 11:30,40.07152778,12/4/2019 9:55
409MQGL,Miss,12/4/2019 9:58,1/13/2020 11:25,40.06041667,12/4/2019 10:02
409MQYQ,Miss,12/4/2019 10:45,1/13/2020 15:32,40.19930556,12/4/2019 10:55
4097KKY,Miss,9/30/2019 11:40,1/13/2020 16:23,105.1965278,9/30/2019 11:48
409BCQ2,Miss,10/15/2019 9:38,12/18/2019 15:25,64.24097222,10/16/2019 8:25
409D9W3,Miss,10/24/2019 13:09,12/18/2019 14:46,55.06736111,10/24/2019 19:33
4097KNY,Miss,9/30/2019 11:52,1/13/2020 16:23,105.1881944,9/30/2019 11:58
