OCPM #,Make/Miss,SR Create TS,SR Close TS,Cust Contact TS,Close and Create Diff
409SJ7H,Make,2020-01-07 08:17:00,2020-01-11 21:22:00,,4 days 13:05:00.000000000
409SP5F,Make,2020-01-07 18:17:00,2020-01-11 21:00:00,,4 days 02:43:00.000000000
409SF8N,Make,2020-01-06 18:05:00,2020-01-11 21:19:00,2020-01-06 18:05:00,5 days 03:14:00.000000000
409SNPW,Make,2020-01-07 16:22:00,2020-01-11 21:26:00,,4 days 05:04:00.000000000
409SD9B,Make,2020-01-06 14:26:00,2020-01-10 14:39:00,2020-01-06 15:06:00,4 days 00:13:00.000000000
409SSVY,Make,2020-01-08 08:43:00,2020-01-10 13:47:00,2020-01-08 13:04:00,2 days 05:04:00.000000000
409SYY8,Make,2020-01-08 17:01:00,2020-01-10 12:45:00,2020-01-10 10:30:00,1 days 19:44:00.000000000
409SW9G,Make,2020-01-08 13:20:00,2020-01-10 16:45:00,2020-01-10 10:00:00,2 days 03:25:00.000000000
409SCC2,Make,2020-01-06 12:32:00,2020-01-10 12:49:00,2020-01-10 08:21:00,4 days 00:17:00.000000000
409SS8L,Make,2020-01-08 08:54:00,2020-01-10 12:26:00,2020-01-09 08:42:00,2 days 03:32:00.000000000
409T68W,Make,2020-01-09 10:40:00,2020-01-10 14:08:00,2020-01-09 15:30:00,1 days 03:28:00.000000000
409STSW,Make,2020-01-08 09:51:00,2020-01-10 15:25:00,2020-01-08 15:41:00,2 days 05:34:00.000000000
409SC86,Make,2020-01-06 13:19:00,2020-01-10 11:14:00,2020-01-10 09:04:00,3 days 21:55:00.000000000
409RVTJ,Miss,2020-01-02 12:22:00,2020-01-10 12:47:00,,8 days 00:25:00.000000000
409SNHW,Make,2020-01-07 15:42:00,2020-01-10 13:38:00,2020-01-08 17:22:00,2 days 21:56:00.000000000
409ST5K,Make,2020-01-08 09:59:00,2020-01-10 14:14:00,2020-01-08 10:00:00,2 days 04:15:00.000000000
409SMBD,Make,2020-01-07 13:01:00,2020-01-10 08:45:00,2020-01-07 13:02:00,2 days 19:44:00.000000000
409S3KL,Miss,2020-01-03 13:35:00,2020-01-10 15:30:00,2020-01-03 13:35:00,7 days 01:55:00.000000000
409SKMY,Make,2020-01-07 10:25:00,2020-01-10 12:08:00,2020-01-07 10:32:00,3 days 01:43:00.000000000
409SBRB,Make,2020-01-06 12:29:00,2020-01-10 16:30:00,2020-01-06 12:30:00,4 days 04:01:00.000000000
409T7ZZ,Make,2020-01-09 15:21:00,2020-01-10 14:29:00,2020-01-09 15:22:00,0 days 23:08:00.000000000
409T6MT,Make,2020-01-09 12:26:00,2020-01-10 16:47:00,2020-01-09 13:28:00,1 days 04:21:00.000000000
409SN7Y,Make,2020-01-07 14:59:00,2020-01-10 16:26:00,2020-01-07 15:00:00,3 days 01:27:00.000000000
409T7FM,Make,2020-01-09 14:10:00,2020-01-10 15:28:00,2020-01-09 14:10:00,1 days 01:18:00.000000000
409T6NF,Make,2020-01-09 12:31:00,2020-01-10 16:02:00,2020-01-09 13:11:00,1 days 03:31:00.000000000
409T4CM,Make,2020-01-09 08:46:00,2020-01-10 12:57:00,2020-01-09 08:47:00,1 days 04:11:00.000000000
409ST78,Make,2020-01-08 10:04:00,2020-01-10 11:16:00,2020-01-08 10:05:00,2 days 01:12:00.000000000
409T7Y8,Make,2020-01-09 14:14:00,2020-01-10 16:12:00,2020-01-09 14:22:00,1 days 01:58:00.000000000
