,OCPM #,Make/Miss,SR Create TS,SR Close TS,Cust Contact TS,CQ Applied TS,CQ and Create Diff
40,409RDW7,Miss,2019-12-27 13:38:00,2020-01-03 10:31:00,2019-12-27 13:39:00,2019-12-27 13:41:00,0 days 00:03:00.000000000
41,409NMKT,Miss,2019-12-09 10:33:00,2020-01-08 14:54:00,,2019-12-10 11:39:00,1 days 01:06:00.000000000
42,409P5D6,Miss,2019-12-11 09:12:00,2020-01-07 13:28:00,2019-12-11 09:12:00,2019-12-11 09:14:00,0 days 00:02:00.000000000
43,409QMDY,Make,2019-12-19 11:01:00,2019-12-23 16:07:00,2019-12-19 11:04:00,2019-12-19 11:09:00,0 days 00:08:00.000000000
44,409S9KT,Make,2020-01-06 09:34:00,2020-01-07 11:38:00,2020-01-06 09:35:00,2020-01-06 09:47:00,0 days 00:13:00.000000000
45,409QVK4,Miss,2019-12-20 15:56:00,2019-12-27 14:21:00,,2019-12-20 16:03:00,0 days 00:07:00.000000000
46,409S4KZ,Make,2020-01-03 15:22:00,2020-01-07 15:30:00,2020-01-06 09:44:00,2020-01-03 15:25:00,0 days 00:03:00.000000000
47,409QVMK,Miss,2019-12-20 16:38:00,2019-12-26 20:35:00,,2019-12-20 16:46:00,0 days 00:08:00.000000000
48,409QHNT,Miss,2019-12-18 15:35:00,2019-12-26 13:28:00,2019-12-26 08:23:00,2019-12-19 13:17:00,0 days 21:42:00.000000000
49,409PDPZ,Make,2019-12-12 11:36:00,2019-12-17 11:47:00,2019-12-13 09:22:00,2019-12-12 15:22:00,0 days 03:46:00.000000000
50,409KSWG,Miss,2019-11-22 12:34:00,2020-01-10 13:11:00,,2019-11-22 22:30:00,0 days 09:56:00.000000000
51,BNBGMFB,Make,2019-12-27 13:26:00,2019-12-30 13:50:00,2019-12-30 10:24:00,2019-12-27 15:48:00,0 days 02:22:00.000000000
52,409RS6D,Miss,2020-01-02 09:21:00,2020-01-13 09:54:00,,2020-01-02 10:30:00,0 days 01:09:00.000000000
53,409NLHP,Miss,2019-12-09 12:38:00,2020-01-06 12:33:00,,2019-12-10 14:53:00,1 days 02:15:00.000000000
54,409QMW9,Miss,2019-12-19 12:21:00,2020-01-08 10:30:00,2019-12-19 12:23:00,2019-12-19 12:29:00,0 days 00:08:00.000000000
55,409QNJH,Miss,2019-12-19 11:01:00,2020-01-07 11:39:00,2019-12-19 11:02:00,2019-12-19 11:07:00,0 days 00:06:00.000000000
56,409R98Q,Miss,2019-12-26 10:22:00,2020-01-07 10:55:00,2019-12-26 10:25:00,2019-12-26 10:27:00,0 days 00:05:00.000000000
57,409SMB7,Make,2020-01-07 12:59:00,2020-01-11 21:24:00,,2020-01-07 15:08:00,0 days 02:09:00.000000000
